prune_radius,threshold,precision,recall,f_beta,tp,fp,fn
0,0.05,0.008,1.0,0.037,26,3409,0
0,0.07,0.009,1.0,0.044,26,2803,0
0,0.09,0.011,1.0,0.051,26,2395,0
0,0.11,0.012,1.0,0.058,26,2108,0
0,0.13,0.014,1.0,0.065,26,1864,0
0,0.15,0.015,1.0,0.071,26,1695,0
0,0.17,0.017,1.0,0.078,26,1545,0
0,0.19,0.018,1.0,0.083,26,1433,0
0,0.21,0.019,1.0,0.089,26,1324,0
0,0.23,0.021,1.0,0.096,26,1224,0
0,0.25,0.022,1.0,0.102,26,1140,0
0,0.27,0.024,1.0,0.111,26,1041,0
0,0.29,0.026,1.0,0.119,26,959,0
0,0.31,0.028,1.0,0.127,26,895,0
0,0.33,0.03,1.0,0.135,26,835,0
0,0.35,0.033,1.0,0.144,26,772,0
0,0.37,0.035,1.0,0.153,26,720,0
0,0.39,0.037,1.0,0.162,26,674,0
0,0.41,0.04,1.0,0.172,26,627,0
0,0.43,0.043,1.0,0.183,26,581,0
0,0.45,0.045,1.0,0.191,26,550,0
0,0.47,0.048,1.0,0.202,26,512,0
0,0.49,0.051,1.0,0.21,26,488,0
0,0.51,0.054,1.0,0.223,26,454,0
0,0.53,0.057,1.0,0.233,26,427,0
0,0.55,0.061,1.0,0.246,26,399,0
0,0.57,0.067,1.0,0.264,26,362,0
0,0.59,0.073,1.0,0.283,26,330,0
0,0.61,0.08,1.0,0.302,26,300,0
0,0.63,0.086,1.0,0.32,26,276,0
0,0.65,0.092,1.0,0.335,26,258,0
0,0.67,0.098,1.0,0.352,26,239,0
0,0.69,0.105,1.0,0.369,26,222,0
0,0.71,0.109,1.0,0.379,26,213,0
0,0.73,0.115,1.0,0.394,26,200,0
0,0.75,0.128,1.0,0.423,26,177,0
0,0.77,0.144,1.0,0.458,26,154,0
0,0.79,0.158,0.962,0.477,25,133,1
0,0.81,0.18,0.962,0.514,25,114,1
0,0.83,0.207,0.962,0.556,25,96,1
0,0.85,0.247,0.923,0.597,24,73,2
0,0.87,0.289,0.923,0.642,24,59,2
0,0.89,0.407,0.923,0.736,24,35,2
0,0.91,0.571,0.769,0.719,20,15,6
0,0.93,0.75,0.346,0.388,9,3,17
1,0.05,0.066,1.0,0.262,26,366,0
1,0.07,0.081,1.0,0.307,26,294,0
1,0.09,0.092,0.962,0.332,25,247,1
1,0.11,0.1,0.923,0.349,24,216,2
1,0.13,0.115,0.923,0.385,24,184,2
1,0.15,0.128,0.923,0.412,24,163,2
1,0.17,0.142,0.923,0.44,24,145,2
1,0.19,0.158,0.923,0.469,24,128,2
1,0.21,0.162,0.885,0.467,23,119,3
1,0.23,0.177,0.885,0.491,23,107,3
1,0.25,0.193,0.885,0.516,23,96,3
1,0.27,0.206,0.846,0.521,22,85,4
1,0.29,0.212,0.808,0.517,21,78,5
1,0.31,0.223,0.808,0.53,21,73,5
1,0.33,0.236,0.808,0.544,21,68,5
1,0.35,0.256,0.808,0.565,21,61,5
1,0.37,0.273,0.808,0.58,21,56,5
1,0.39,0.288,0.808,0.593,21,52,5
1,0.41,0.3,0.808,0.603,21,49,5
1,0.43,0.313,0.808,0.614,21,46,5
1,0.45,0.328,0.808,0.625,21,43,5
1,0.47,0.344,0.808,0.636,21,40,5
1,0.49,0.356,0.808,0.644,21,38,5
1,0.51,0.362,0.808,0.648,21,37,5
1,0.53,0.368,0.808,0.652,21,36,5
1,0.55,0.368,0.808,0.652,21,36,5
1,0.57,0.375,0.808,0.656,21,35,5
1,0.59,0.382,0.808,0.66,21,34,5
1,0.61,0.404,0.808,0.673,21,31,5
1,0.63,0.429,0.808,0.686,21,28,5
1,0.65,0.438,0.808,0.691,21,27,5
1,0.67,0.447,0.808,0.695,21,26,5
1,0.69,0.477,0.808,0.709,21,23,5
1,0.71,0.488,0.808,0.714,21,22,5
1,0.73,0.488,0.808,0.714,21,22,5
1,0.75,0.525,0.808,0.729,21,19,5
1,0.77,0.538,0.808,0.734,21,18,5
1,0.79,0.568,0.808,0.745,21,16,5
1,0.81,0.6,0.808,0.755,21,14,5
1,0.83,0.6,0.808,0.755,21,14,5
1,0.85,0.7,0.808,0.784,21,9,5
1,0.87,0.75,0.808,0.795,21,7,5
1,0.89,0.808,0.808,0.808,21,5,5
1,0.91,0.9,0.692,0.726,18,2,8
1,0.93,0.9,0.346,0.395,9,1,17
2,0.05,0.141,0.808,0.415,21,128,5
2,0.07,0.171,0.808,0.463,21,102,5
2,0.09,0.179,0.808,0.475,21,96,5
2,0.11,0.194,0.808,0.495,21,87,5
2,0.13,0.208,0.808,0.512,21,80,5
2,0.15,0.216,0.808,0.522,21,76,5
2,0.17,0.233,0.808,0.541,21,69,5
2,0.19,0.239,0.808,0.547,21,67,5
2,0.21,0.241,0.808,0.55,21,66,5
2,0.23,0.25,0.808,0.559,21,63,5
2,0.25,0.266,0.808,0.574,21,58,5
2,0.27,0.269,0.808,0.577,21,57,5
2,0.29,0.284,0.808,0.59,21,53,5
2,0.31,0.292,0.808,0.597,21,51,5
2,0.33,0.3,0.808,0.603,21,49,5
2,0.35,0.313,0.808,0.614,21,46,5
2,0.37,0.323,0.808,0.621,21,44,5
2,0.39,0.328,0.808,0.625,21,43,5
2,0.41,0.333,0.808,0.629,21,42,5
2,0.43,0.333,0.808,0.629,21,42,5
2,0.45,0.344,0.808,0.636,21,40,5
2,0.47,0.35,0.808,0.64,21,39,5
2,0.49,0.356,0.808,0.644,21,38,5
2,0.51,0.362,0.808,0.648,21,37,5
2,0.53,0.368,0.808,0.652,21,36,5
2,0.55,0.368,0.808,0.652,21,36,5
2,0.57,0.375,0.808,0.656,21,35,5
2,0.59,0.382,0.808,0.66,21,34,5
2,0.61,0.404,0.808,0.673,21,31,5
2,0.63,0.429,0.808,0.686,21,28,5
2,0.65,0.438,0.808,0.691,21,27,5
2,0.67,0.447,0.808,0.695,21,26,5
2,0.69,0.477,0.808,0.709,21,23,5
2,0.71,0.488,0.808,0.714,21,22,5
2,0.73,0.488,0.808,0.714,21,22,5
2,0.75,0.525,0.808,0.729,21,19,5
2,0.77,0.538,0.808,0.734,21,18,5
2,0.79,0.568,0.808,0.745,21,16,5
2,0.81,0.6,0.808,0.755,21,14,5
2,0.83,0.6,0.808,0.755,21,14,5
2,0.85,0.7,0.808,0.784,21,9,5
2,0.87,0.75,0.808,0.795,21,7,5
2,0.89,0.808,0.808,0.808,21,5,5
2,0.91,0.9,0.692,0.726,18,2,8
2,0.93,0.9,0.346,0.395,9,1,17
3,0.05,0.149,0.808,0.429,21,120,5
3,0.07,0.175,0.808,0.469,21,99,5
3,0.09,0.181,0.808,0.477,21,95,5
3,0.11,0.194,0.808,0.495,21,87,5
3,0.13,0.208,0.808,0.512,21,80,5
3,0.15,0.216,0.808,0.522,21,76,5
3,0.17,0.233,0.808,0.541,21,69,5
3,0.19,0.239,0.808,0.547,21,67,5
3,0.21,0.241,0.808,0.55,21,66,5
3,0.23,0.25,0.808,0.559,21,63,5
3,0.25,0.266,0.808,0.574,21,58,5
3,0.27,0.269,0.808,0.577,21,57,5
3,0.29,0.284,0.808,0.59,21,53,5
3,0.31,0.292,0.808,0.597,21,51,5
3,0.33,0.3,0.808,0.603,21,49,5
3,0.35,0.313,0.808,0.614,21,46,5
3,0.37,0.323,0.808,0.621,21,44,5
3,0.39,0.328,0.808,0.625,21,43,5
3,0.41,0.333,0.808,0.629,21,42,5
3,0.43,0.333,0.808,0.629,21,42,5
3,0.45,0.344,0.808,0.636,21,40,5
3,0.47,0.35,0.808,0.64,21,39,5
3,0.49,0.356,0.808,0.644,21,38,5
3,0.51,0.362,0.808,0.648,21,37,5
3,0.53,0.368,0.808,0.652,21,36,5
3,0.55,0.368,0.808,0.652,21,36,5
3,0.57,0.375,0.808,0.656,21,35,5
3,0.59,0.382,0.808,0.66,21,34,5
3,0.61,0.404,0.808,0.673,21,31,5
3,0.63,0.429,0.808,0.686,21,28,5
3,0.65,0.438,0.808,0.691,21,27,5
3,0.67,0.447,0.808,0.695,21,26,5
3,0.69,0.477,0.808,0.709,21,23,5
3,0.71,0.488,0.808,0.714,21,22,5
3,0.73,0.488,0.808,0.714,21,22,5
3,0.75,0.525,0.808,0.729,21,19,5
3,0.77,0.538,0.808,0.734,21,18,5
3,0.79,0.568,0.808,0.745,21,16,5
3,0.81,0.6,0.808,0.755,21,14,5
3,0.83,0.6,0.808,0.755,21,14,5
3,0.85,0.7,0.808,0.784,21,9,5
3,0.87,0.75,0.808,0.795,21,7,5
3,0.89,0.808,0.808,0.808,21,5,5
3,0.91,0.9,0.692,0.726,18,2,8
3,0.93,0.9,0.346,0.395,9,1,17
4,0.05,0.149,0.808,0.429,21,120,5
4,0.07,0.175,0.808,0.469,21,99,5
4,0.09,0.183,0.808,0.479,21,94,5
4,0.11,0.196,0.808,0.498,21,86,5
4,0.13,0.208,0.808,0.512,21,80,5
4,0.15,0.216,0.808,0.522,21,76,5
4,0.17,0.233,0.808,0.541,21,69,5
4,0.19,0.239,0.808,0.547,21,67,5
4,0.21,0.241,0.808,0.55,21,66,5
4,0.23,0.25,0.808,0.559,21,63,5
4,0.25,0.266,0.808,0.574,21,58,5
4,0.27,0.269,0.808,0.577,21,57,5
4,0.29,0.284,0.808,0.59,21,53,5
4,0.31,0.292,0.808,0.597,21,51,5
4,0.33,0.3,0.808,0.603,21,49,5
4,0.35,0.313,0.808,0.614,21,46,5
4,0.37,0.323,0.808,0.621,21,44,5
4,0.39,0.328,0.808,0.625,21,43,5
4,0.41,0.333,0.808,0.629,21,42,5
4,0.43,0.333,0.808,0.629,21,42,5
4,0.45,0.344,0.808,0.636,21,40,5
4,0.47,0.35,0.808,0.64,21,39,5
4,0.49,0.356,0.808,0.644,21,38,5
4,0.51,0.362,0.808,0.648,21,37,5
4,0.53,0.368,0.808,0.652,21,36,5
4,0.55,0.368,0.808,0.652,21,36,5
4,0.57,0.375,0.808,0.656,21,35,5
4,0.59,0.382,0.808,0.66,21,34,5
4,0.61,0.404,0.808,0.673,21,31,5
4,0.63,0.429,0.808,0.686,21,28,5
4,0.65,0.438,0.808,0.691,21,27,5
4,0.67,0.447,0.808,0.695,21,26,5
4,0.69,0.477,0.808,0.709,21,23,5
4,0.71,0.488,0.808,0.714,21,22,5
4,0.73,0.488,0.808,0.714,21,22,5
4,0.75,0.525,0.808,0.729,21,19,5
4,0.77,0.538,0.808,0.734,21,18,5
4,0.79,0.568,0.808,0.745,21,16,5
4,0.81,0.6,0.808,0.755,21,14,5
4,0.83,0.6,0.808,0.755,21,14,5
4,0.85,0.7,0.808,0.784,21,9,5
4,0.87,0.75,0.808,0.795,21,7,5
4,0.89,0.808,0.808,0.808,21,5,5
4,0.91,0.9,0.692,0.726,18,2,8
4,0.93,0.9,0.346,0.395,9,1,17
5,0.05,0.15,0.808,0.43,21,119,5
5,0.07,0.176,0.808,0.471,21,98,5
5,0.09,0.184,0.808,0.482,21,93,5
5,0.11,0.198,0.808,0.5,21,85,5
5,0.13,0.21,0.808,0.515,21,79,5
5,0.15,0.219,0.808,0.525,21,75,5
5,0.17,0.236,0.808,0.544,21,68,5
5,0.19,0.241,0.808,0.55,21,66,5
5,0.21,0.244,0.808,0.553,21,65,5
5,0.23,0.253,0.808,0.561,21,62,5
5,0.25,0.269,0.808,0.577,21,57,5
5,0.27,0.273,0.808,0.58,21,56,5
5,0.29,0.284,0.808,0.59,21,53,5
5,0.31,0.292,0.808,0.597,21,51,5
5,0.33,0.3,0.808,0.603,21,49,5
5,0.35,0.313,0.808,0.614,21,46,5
5,0.37,0.323,0.808,0.621,21,44,5
